form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
maringsaibol140,mu,2.pl.3.sg.nfut.aff,ka-mu-chau,ka-Σ-chau,ka+Σ+cha+u,k a Σ tʃ a u,k a + Σ + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol141,mu,2.pl.3.pl.nfut.aff,ka-mu-chau,ka-Σ-chau,ka+Σ+cha+u,k a Σ tʃ a u,k a + Σ + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol142,shi,3.sg.nfut.aff,ka-shi,ka-Σ,ka+Σ,k a Σ,k a + Σ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol143,shi,3.pl.nfut.aff,ka-shi-ei,ka-Σ-ei,ka+Σ+ei,k a Σ ei,k a + Σ + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol144,mu,3.sg.1.sg.nfut.aff,ka-mu,ka-Σ,ka+Σ,k a Σ,k a + Σ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol145,mu,3.sg.1.pl.excl.nfut.aff,ka-mu,ka-Σ,ka+Σ,k a Σ,k a + Σ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol146,mu,3.sg.1.pl.incl.nfut.aff,ka-mu,ka-Σ,ka+Σ,k a Σ,k a + Σ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol147,mu,3.pl.1.sg.nfut.aff,ka-mu-ei,ka-Σ-ei,ka+Σ+ei,k a Σ ei,k a + Σ + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol148,mu,3.pl.1.pl.excl.nfut.aff,ka-mu-ei,ka-Σ-ei,ka+Σ+ei,k a Σ ei,k a + Σ + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol149,mu,3.pl.1.pl.incl.nfut.aff,ka-mu-ei,ka-Σ-ei,ka+Σ+ei,k a Σ ei,k a + Σ + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol150,mu,3.sg.2.sg.nfut.aff,ka-mu-num,ka-Σ-num,ka+Σ+num,k a Σ n u m,k a + Σ + n u m,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol151,mu,3.sg.2.pl.nfut.aff,ka-mu,ka-Σ,ka+Σ,k a Σ,k a + Σ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol152,mu,3.pl.2.sg.nfut.aff,ka-mu-ei,ka-Σ-ei,ka+Σ+ei,k a Σ ei,k a + Σ + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol153,mu,3.pl.2.pl.nfut.aff,ka-mu-ei,ka-Σ-ei,ka+Σ+ei,k a Σ ei,k a + Σ + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol154,mu,3.sg.3.sg.nfut.aff,ka-mu,ka-Σ,ka+Σ,k a Σ,k a + Σ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol155,mu,3.sg.3.pl.nfut.aff,ka-mu,ka-Σ,ka+Σ,k a Σ,k a + Σ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol156,mu,3.pl.3.sg.nfut.aff,ka-mu-ei,ka-Σ-ei,ka+Σ+ei,k a Σ ei,k a + Σ + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol157,mu,3.pl.3.pl.nfut.aff,ka-mu-ei,ka-Σ-ei,ka+Σ+ei,k a Σ ei,k a + Σ + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol158,shi,1.sg.nfut.neg,shi-mak-ang,Σ-mak-ang,Σ+mak+ang,Σ m a k a ŋ,Σ + m a k + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
