value_id,label,feature,unimorph,language_id
excl,exclusive,clusivity,EXCL,maringsaibol
incl,inclusive,clusivity,INCL,maringsaibol
pl,plural,number,PL,maringsaibol
sg,singular,number,SG,maringsaibol
1,first person,person,1,maringsaibol
2,second person,person,2,maringsaibol
3,third person,person,3,maringsaibol
aff,affirmative,polarity,POS,maringsaibol
neg,negative,polarity,NEG,maringsaibol
fut,future,tense_aspect,FUT,maringsaibol
nfut,non-future,tense_aspect,,maringsaibol
