grapheme_id,language_id
-,maringsaibol
a,maringsaibol
ch,maringsaibol
e,maringsaibol
ei,maringsaibol
h,maringsaibol
i,maringsaibol
k,maringsaibol
m,maringsaibol
n,maringsaibol
ng,maringsaibol
s,maringsaibol
u,maringsaibol
Σ,maringsaibol
